ZIPCode,Cases,Deaths,TotalPop,Place,Note
27006,792,3,14872,Advance,
27007,158,0,2136,Ararat,
27009,183,1,2937,Belews Creek,
27011,391,4,5411,Boonville,
27012,1968,29,28954,Clemmons,
27013,394,5,6495,Cleveland,
27014,47,0,957,Cooleemee,
27016,102,0,1682,Danbury,
27017,790,6,9499,Dobson,
27018,515,4,8221,East Bend,
27019,219,1,4234,Germanton,
27020,514,5,6104,Hamptonville,
27021,1049,27,17979,King,
27022,70,1,1512,Lawsonville,
27023,718,3,12775,Lewisville,
27024,198,3,2683,Lowgap,
27025,796,3,11117,Madison,
27027,290,1,4017,Mayodan,
27028,1794,12,28039,Mocksville,
27030,2845,56,37641,Mount Airy,
27040,676,3,13150,Pfafftown,
27041,471,6,8020,Pilot Mountain,
27042,56,1,720,Pine Hall,
27043,368,5,6442,Pinnacle,
27045,669,5,9583,Rural Hall,
27046,108,1,1953,Sandy Ridge,
27047,81,0,1279,Siloam,
27048,521,2,8902,Stoneville,
27050,206,2,4084,Tobaccoville,
27051,497,4,8287,Walkertown,
27052,596,10,10061,Walnut Cove,
27053,122,1,3156,Westfield,
27054,184,2,2608,Woodleaf,
27055,1252,16,14521,Yadkinville,
27101,1246,29,24321,Winston Salem,
27103,2147,22,36071,Winston Salem,
27104,1754,23,29383,Winston Salem,
27105,2820,23,40186,Winston Salem,
27106,2917,22,51378,Winston Salem,
27107,3543,28,52432,Winston Salem,
27127,2750,20,38510,Winston Salem,
27157,28,0,5,Winston Salem,
27203,1910,35,21876,Asheboro,
27205,2455,32,34549,Asheboro,
27207,197,2,3806,Bear Creek,
27208,108,0,1691,Bennett,
27209,559,24,4151,Biscoe,
27212,297,1,1600,Blanch,
27214,657,2,11747,Browns Summit,
27215,3062,38,44892,Burlington,
27217,3817,71,39111,Burlington,
27229,424,9,4014,Candor,
27231,76,0,2048,Cedar Grove,
27233,182,2,3647,Climax,
27235,284,2,4575,Colfax,
27239,551,5,9629,Denton,
27242,112,0,2668,Eagle Springs,
27243,192,2,4665,Efland,
27244,1196,13,16259,Elon,
27248,258,4,4835,Franklinville,
27249,735,5,13355,Gibsonville,
27252,68,2,2264,Goldston,
27253,2431,32,31464,Graham,
27258,463,6,7740,Haw River,
27260,1474,26,25696,High Point,
27262,1405,25,24764,High Point,
27263,1468,25,22320,High Point,
27265,2743,32,50038,High Point,
27268,228,0,1695,High Point,
27278,1161,3,27181,Hillsborough,
27281,179,0,3710,Jackson Springs,
27282,929,11,16597,Jamestown,
27283,162,1,2982,Julian,
27284,3469,45,56201,Kernersville,
27288,1419,11,23585,Eden,
27291,93,0,1538,Leasburg,
27292,2605,20,41465,Lexington,
27295,2664,33,39191,Lexington,
27298,529,4,10440,Liberty,
27299,391,1,5254,Linwood,
27301,670,11,10019,Mc Leansville,
27302,1716,5,32302,Mebane,
27305,114,1,1585,Milton,
27306,481,11,5945,Mount Gilead,
27310,414,2,8562,Oak Ridge,
27311,182,0,3220,Pelham,
27312,654,23,22205,Pittsboro,
27313,345,18,7288,Pleasant Garden,
27314,38,1,1138,Prospect Hill,
27315,84,0,2140,Providence,
27316,509,13,7156,Ramseur,
27317,1143,14,17851,Randleman,
27320,2211,14,38894,Reidsville,
27325,539,2,7676,Robbins,
27326,205,2,3692,Ruffin,
27330,2758,27,39529,Sanford,
27332,1999,17,33549,Sanford,
27341,315,0,5820,Seagrove,
27343,73,0,1840,Semora,
27344,1494,25,19290,Siler City,
27349,317,5,5850,Snow Camp,
27350,369,4,7508,Sophia,
27355,156,0,3196,Staley,
27356,243,2,3513,Star,
27357,578,5,8325,Stokesdale,
27358,705,1,15960,Summerfield,
27360,3340,36,48331,Thomasville,
27370,1011,23,14622,Trinity,
27371,618,6,7778,Troy,
27376,541,6,9884,West End,
27377,567,2,9597,Whitsett,
27379,358,4,6057,Yanceyville,
27401,1136,12,20221,Greensboro,
27403,916,11,21278,Greensboro,
27405,3047,28,52510,Greensboro,
27406,3451,67,60755,Greensboro,
27407,2834,31,49837,Greensboro,
27408,824,2,17406,Greensboro,
27409,916,9,17953,Greensboro,
27410,2553,18,56968,Greensboro,
27455,1573,27,29197,Greensboro,
27501,1185,10,21338,Angier,
27502,1495,4,43747,Apex,
27503,118,0,7222,Bahama,
27504,1225,10,16320,Benson,
27505,401,6,7308,Broadway,
27507,97,2,2053,Bullock,
27508,118,0,2340,Bunn,
27509,1329,34,6935,Butner,
27510,598,6,14543,Carrboro,
27511,1358,7,34041,Cary,
27513,1476,4,49003,Cary,
27514,1138,21,32847,Chapel Hill,
27516,1452,14,44117,Chapel Hill,
27517,909,10,28831,Chapel Hill,
27518,712,1,22765,Cary,
27519,1646,4,59960,Cary,
27520,2932,41,43958,Clayton,
27521,488,7,7149,Coats,
27522,792,3,13652,Creedmoor,
27523,451,0,12782,Apex,
27524,1025,9,13532,Four Oaks,
27525,946,2,15534,Franklinton,
27526,2324,26,54027,Fuquay Varina,
27527,1630,4,30234,Clayton,
27529,3142,41,53854,Garner,
27530,2300,52,40212,Goldsboro,
27531,8,0,666,Goldsboro,
27534,2017,47,31819,Goldsboro,
27536,1263,39,16459,Henderson,
27537,1723,32,25321,Henderson,
27539,958,6,26567,Apex,
27540,1573,3,39075,Holly Springs,
27541,196,1,4044,Hurdle Mills,
27542,601,8,10043,Kenly,
27544,231,1,4291,Kittrell,
27545,2063,28,30327,Knightdale,
27546,1416,47,22436,Lillington,
27549,1502,30,25224,Louisburg,
27551,74,2,2205,Macon,
27553,416,0,2030,Manson,
27556,16,0,298,Middleburg,
27557,528,2,9214,Middlesex,
27559,96,0,2874,Moncure,
27560,1128,7,33691,Morrisville,
27562,127,0,2791,New Hill,
27563,257,4,5312,Norlina,
27565,1778,36,26057,Oxford,
27569,693,2,8984,Princeton,
27571,440,0,7385,Rolesville,
27572,287,3,7316,Rougemont,
27573,706,27,11561,Roxboro,
27574,697,3,15232,Roxboro,
27576,1417,13,20197,Selma,
27577,2279,25,25214,Smithfield,
27581,194,0,3956,Stem,
27583,410,4,7012,Timberlake,
27587,4237,41,74087,Wake Forest,
27589,472,4,8312,Warrenton,
27591,1654,10,23448,Wendell,
27592,871,3,17368,Willow Spring,
27596,1022,3,18655,Youngsville,
27597,1798,9,25494,Zebulon,
27601,630,3,12139,Raleigh,
27603,3096,9,55479,Raleigh,
27604,3029,36,47645,Raleigh,
27605,402,3,5253,Raleigh,
27606,2223,7,47938,Raleigh,
27607,1424,6,30296,Raleigh,
27608,614,1,11603,Raleigh,
27609,2083,18,38631,Raleigh,
27610,5804,53,74203,Raleigh,
27612,1923,19,39208,Raleigh,
27613,1872,9,46521,Raleigh,
27614,1712,16,37689,Raleigh,
27615,2128,37,46038,Raleigh,
27616,3790,10,55260,Raleigh,
27617,919,2,19511,Raleigh,
27701,1463,10,26489,Durham,
27703,3846,17,61351,Durham,
27704,3047,32,39369,Durham,
27705,2473,52,48078,Durham,
27707,2468,11,47036,Durham,
27708,28,0,4635,Durham,
27709,91,0,4,Durham,
27710,6,0,0,Durham,
27712,1005,23,22055,Durham,
27713,2265,17,53996,Durham,
27801,1228,17,21556,Rocky Mount,
27803,1285,15,22337,Rocky Mount,
27804,2161,67,29160,Rocky Mount,
27805,194,1,3769,Aulander,
27806,87,2,2441,Aurora,
27807,591,5,6940,Bailey,
27808,144,2,2481,Bath,
27809,336,4,5254,Battleboro,
27812,199,1,2951,Bethel,
27813,37,0,687,Black Creek,
27814,84,1,1801,Blounts Creek,
27816,159,1,2634,Castalia,
27817,483,3,7777,Chocowinity,
27818,85,1,1269,Como,
27820,127,2,3292,Conway,
27822,663,7,9119,Elm City,
27823,509,7,7812,Enfield,
27827,18,0,99,Falkland,
27828,569,6,9031,Farmville,
27829,134,1,1872,Fountain,
27830,254,5,4858,Fremont,
27831,212,2,3588,Garysburg,
27832,242,5,2912,Gaston,
27834,4371,26,57505,Greenville,
27837,445,2,6506,Grimesland,
27839,157,2,3702,Halifax,
27840,49,2,535,Hamilton,
27842,40,0,1436,Henrico,
27843,93,1,946,Hobgood,
27844,208,2,3039,Hollister,
27845,167,2,2841,Jackson,
27846,222,2,3069,Jamesville,
27847,43,0,1071,Kelford,
27849,81,2,1483,Lewiston Woodville,
27850,281,3,7413,Littleton,
27851,392,2,5595,Lucama,
27852,161,2,3454,Macclesfield,
27853,26,0,436,Margarettsville,
27855,315,4,6105,Murfreesboro,
27856,1335,17,17301,Nashville,
27857,97,3,1601,Oak City,
27858,4308,14,58170,Greenville,
27860,140,1,2062,Pantego,
27862,33,1,945,Pendleton,
27863,731,15,12670,Pikeville,
27864,394,3,4823,Pinetops,
27865,143,1,2003,Pinetown,
27866,59,1,672,Pleasant Hill,
27869,225,12,2167,Rich Square,
27870,2056,34,26633,Roanoke Rapids,
27871,294,4,4466,Robersonville,
27874,279,9,4766,Scotland Neck,
27876,77,1,1290,Seaboard,
27880,304,0,3280,Sims,
27882,599,8,7927,Spring Hope,
27883,234,3,4361,Stantonsburg,
27884,127,1,1545,Stokes,
27885,263,3,859,Swanquarter,
27886,1615,61,21595,Tarboro,
27888,199,0,2803,Walstonburg,
27889,2221,50,27543,Washington,
27890,179,7,2398,Weldon,
27891,301,7,5011,Whitakers,
27892,1084,16,14363,Williamston,
27893,3321,75,40647,Wilson,
27896,1674,28,21212,Wilson,
27897,89,1,2467,Woodland,
27909,2261,59,40958,Elizabeth City,
27910,1005,42,11609,Ahoskie,
27915,19,0,758,Avon,
27916,32,0,554,Aydlett,
27917,87,5,1084,Barco,
27922,57,4,1107,Cofield,
27924,206,3,3509,Colerain,
27925,214,4,4164,Columbia,
27926,56,1,1965,Corapeake,
27927,16,0,613,Corolla,
27928,100,3,1888,Creswell,
27929,64,0,1949,Currituck,
27932,878,19,12644,Edenton,
27935,69,3,1674,Eure,
27937,144,1,4253,Gates,
27938,90,7,1430,Gatesville,
27942,40,0,936,Harrellsville,
27944,611,3,12230,Hertford,
27946,58,0,1089,Hobbsville,
27948,461,0,12518,Kill Devil Hills,
27949,258,2,7235,Kitty Hawk,
27950,23,0,2183,Knotts Island,
27957,91,2,1419,Merry Hill,
27958,376,5,12061,Moyock,
27959,103,1,2451,Nags Head,
27962,392,10,7439,Plymouth,
27966,30,0,1473,Powells Point,
27968,12,0,413,Rodanthe,
27970,145,6,3214,Roper,
27976,146,1,3561,South Mills,
27979,48,0,1813,Sunbury,
27982,,,0,Waves,Population <500 and Cases <5
27983,756,18,10633,Windsor,
27986,134,2,2650,Winton,
28001,2310,70,28360,Albemarle,
28006,93,0,1136,Alexis,
28012,1993,13,24276,Belmont,
28016,1061,13,14526,Bessemer City,
28018,440,15,5943,Bostic,
28020,185,1,2464,Casar,
28021,1114,25,13436,Cherryville,
28023,1168,8,14843,China Grove,
28025,3837,53,55325,Concord,
28027,4629,50,74072,Concord,
28031,1993,19,31049,Cornelius,
28032,268,1,3249,Cramerton,
28033,285,3,3362,Crouse,
28034,1846,22,17859,Dallas,
28036,1031,9,18554,Davidson,
28037,1738,4,23834,Denver,
28039,31,3,428,East Spencer,
28040,544,7,8270,Ellenboro,
28043,1878,47,21472,Forest City,
28052,3064,63,36823,Gastonia,
28054,3401,54,40184,Gastonia,
28056,2899,23,35595,Gastonia,
28071,234,3,3198,Gold Hill,
28073,400,7,5606,Grover,
28075,1180,10,19174,Harrisburg,
28078,4045,33,66079,Huntersville,
28079,2573,22,39813,Indian Trail,
28080,593,2,8157,Iron Station,
28081,1973,20,28249,Kannapolis,
28083,1817,31,25877,Kannapolis,
28086,2374,46,26988,Kings Mountain,
28088,272,1,3059,Landis,
28090,549,8,8506,Lawndale,
28091,114,1,2353,Lilesville,
28092,3280,25,40052,Lincolnton,
28097,525,1,6124,Locust,
28098,301,2,4010,Lowell,
28103,772,5,11346,Marshville,
28104,1903,9,32469,Matthews,
28105,2603,55,45346,Matthews,
28107,601,6,8210,Midland,
28110,4198,44,55536,Monroe,
28112,2185,23,28060,Monroe,
28114,571,4,9034,Mooresboro,
28115,2412,17,41536,Mooresville,
28117,2792,9,47608,Mooresville,
28119,200,5,3034,Morven,
28120,1828,20,24318,Mount Holly,
28124,423,5,7015,Mount Pleasant,
28125,192,1,2657,Mount Ulla,
28127,868,7,7631,New London,
28128,546,6,8098,Norwood,
28129,412,4,6031,Oakboro,
28133,191,1,2713,Peachland,
28134,895,18,11817,Pineville,
28135,398,5,5968,Polkton,
28137,240,1,3843,Richfield,
28138,818,15,11659,Rockwell,
28139,1641,62,20134,Rutherfordton,
28144,1914,45,25846,Salisbury,
28146,2169,36,30382,Salisbury,
28147,2518,68,26204,Salisbury,
28150,2493,72,29296,Shelby,
28152,2060,30,26078,Shelby,
28159,300,10,3126,Spencer,
28160,365,8,4015,Spindale,
28163,354,2,5814,Stanfield,
28164,1207,34,15447,Stanley,
28166,618,12,9868,Troutman,
28167,158,2,2418,Union Mills,
28168,842,8,10437,Vale,
28170,808,26,12494,Wadesboro,
28173,3608,17,63837,Waxhaw,
28174,850,3,9287,Wingate,
28202,1454,0,16755,Charlotte,
28203,1553,4,19070,Charlotte,
28204,776,4,8738,Charlotte,
28205,3549,49,51821,Charlotte,
28206,1029,6,15244,Charlotte,
28207,590,5,9761,Charlotte,
28208,3067,25,39944,Charlotte,
28209,1612,9,26012,Charlotte,
28210,3089,30,44704,Charlotte,
28211,1879,47,31253,Charlotte,
28212,3429,29,42744,Charlotte,
28213,3686,32,45338,Charlotte,
28214,3483,24,41208,Charlotte,
28215,4833,38,60256,Charlotte,
28216,4212,40,58744,Charlotte,
28217,2592,10,30875,Charlotte,
28226,2215,23,40227,Charlotte,
28227,4193,31,57319,Charlotte,
28262,2807,28,43683,Charlotte,
28269,5000,39,81464,Charlotte,
28270,1566,20,34753,Charlotte,
28273,3312,29,40544,Charlotte,
28277,3524,16,72020,Charlotte,
28278,2130,6,32539,Charlotte,
28301,1069,40,17717,Fayetteville,
28303,1471,12,34600,Fayetteville,
28304,1785,16,39651,Fayetteville,
28305,274,3,5010,Fayetteville,
28306,2131,14,42565,Fayetteville,
28307,598,0,15486,Fort Bragg,
28310,712,0,8861,Fort Bragg,
28311,1744,12,36046,Fayetteville,
28312,1023,8,18419,Fayetteville,
28314,2794,15,53642,Fayetteville,
28315,822,10,13329,Aberdeen,
28318,305,2,4579,Autryville,
28320,542,4,9381,Bladenboro,
28323,243,0,4578,Bunnlevel,
28326,1058,4,22382,Cameron,
28327,1135,16,18273,Carthage,
28328,2679,40,26951,Clinton,
28333,894,15,10709,Dudley,
28334,2118,24,26215,Dunn,
28337,758,11,11927,Elizabethtown,
28338,271,5,4804,Ellerbe,
28339,494,6,7226,Erwin,
28340,902,19,10738,Fairmont,
28341,422,2,5080,Faison,
28343,126,2,1567,Gibson,
28344,288,5,3814,Godwin,
28345,926,17,12656,Hamlet,
28347,184,0,1826,Hoffman,
28348,2012,16,36052,Hope Mills,
28349,320,14,3955,Kenansville,
28350,25,0,70,Lakeview,
28351,326,1,5269,Laurel Hill,
28352,2188,50,25298,Laurinburg,
28356,251,3,4914,Linden,
28357,178,2,3224,Lumber Bridge,
28358,3268,54,38517,Lumberton,
28360,1369,16,14944,Lumberton,
28363,89,1,1079,Marston,
28364,1238,9,15170,Maxton,
28365,1334,27,17063,Mount Olive,
28366,463,5,5153,Newton Grove,
28369,156,3,2241,Orrum,
28371,379,4,7085,Parkton,
28372,1496,9,15254,Pembroke,
28373,141,1,2552,Pinebluff,
28374,960,14,18171,Pinehurst,
28376,2719,31,43831,Raeford,
28377,1155,20,13036,Red Springs,
28379,1745,37,25804,Rockingham,
28382,445,7,8006,Roseboro,
28383,667,6,7713,Rowland,
28384,1006,10,12414,Saint Pauls,
28385,253,2,3005,Salemburg,
28386,631,8,6068,Shannon,
28387,989,23,17139,Southern Pines,
28390,947,7,23494,Spring Lake,
28391,253,3,5326,Stedman,
28392,117,1,1554,Tar Heel,
28393,198,3,2160,Turkey,
28394,298,3,6094,Vass,
28395,150,0,2657,Wade,
28396,155,5,2679,Wagram,
28398,737,18,7672,Warsaw,
28399,126,1,1934,White Oak,
28401,1277,31,24213,Wilmington,
28403,2351,8,41945,Wilmington,
28405,1642,18,33719,Wilmington,
28409,1490,8,34974,Wilmington,
28411,1717,15,38820,Wilmington,
28412,1798,17,42977,Wilmington,
28420,226,3,5116,Ash,
28421,77,2,2040,Atkinson,
28422,288,7,8682,Bolivia,
28423,137,2,2285,Bolton,
28425,886,8,12625,Burgaw,
28428,282,0,7142,Carolina Beach,
28429,399,1,8542,Castle Hayne,
28430,127,2,2055,Cerro Gordo,
28431,519,14,6741,Chadbourn,
28432,174,3,1684,Clarendon,
28433,304,2,5297,Clarkton,
28434,63,2,1357,Council,
28435,165,2,2931,Currie,
28436,133,0,2312,Delco,
28438,109,3,1688,Evergreen,
28439,95,5,1536,Fair Bluff,
28441,255,4,3328,Garland,
28442,102,2,1734,Hallsboro,
28443,1194,5,22483,Hampstead,
28444,185,0,2278,Harrells,
28445,475,8,8142,Holly Ridge,
28447,106,0,1334,Ivanhoe,
28448,45,1,1216,Kelly,
28449,51,0,1958,Kure Beach,
28450,160,6,2397,Lake Waccamaw,
28451,1646,9,39194,Leland,
28452,38,2,513,Longwood,
28453,439,6,4137,Magnolia,
28454,176,2,3549,Maple Hill,
28455,131,2,1718,Nakina,
28456,238,3,3566,Riegelwood,
28457,547,6,12840,Rocky Point,
28458,537,9,7018,Rose Hill,
28460,687,1,10588,Sneads Ferry,
28461,598,4,20575,Southport,
28462,509,8,14309,Supply,
28463,1234,26,9865,Tabor City,
28464,200,2,2491,Teachey,
28465,231,2,8285,Oak Island,
28466,775,12,10375,Wallace,
28467,575,8,11393,Calabash,
28468,187,3,5394,Sunset Beach,
28469,354,6,7481,Ocean Isle Beach,
28470,610,20,13446,Shallotte,
28472,1369,34,20002,Whiteville,
28478,271,1,4976,Willard,
28479,298,4,4874,Winnabow,
28480,182,0,2737,Wrightsville Beach,
28501,1027,24,19507,Kinston,
28504,1569,34,21016,Kinston,
28508,225,5,2984,Albertson,
28510,50,0,1543,Arapahoe,
28511,20,0,628,Atlantic,
28512,145,3,3689,Atlantic Beach,
28513,704,2,10825,Ayden,
28515,199,2,3463,Bayboro,
28516,517,3,12482,Beaufort,
28518,592,6,8803,Beulaville,
28521,160,5,2259,Chinquapin,
28523,144,3,2274,Cove City,
28525,217,3,3309,Deep Run,
28526,125,1,2384,Dover,
28529,184,1,2539,Grantsboro,
28530,501,7,7474,Grifton,
28531,67,0,1414,Harkers Island,
28532,932,6,25868,Havelock,
28538,229,1,3342,Hookerton,
28539,738,7,18000,Hubert,
28540,2894,26,52400,Jacksonville,
28542,331,0,6146,Camp Lejeune,
28543,182,2,6618,Tarawa Terrace,
28546,2962,22,51963,Jacksonville,
28547,756,0,13868,Camp Lejeune,
28551,957,13,14265,La Grange,
28553,9,0,522,Marshallberg,
28555,236,0,4702,Maysville,
28557,750,6,15254,Morehead City,
28560,1815,44,28926,New Bern,
28562,2436,27,38009,New Bern,
28570,1112,2,22687,Newport,
28571,68,0,3137,Oriental,
28572,481,6,6379,Pink Hill,
28573,165,13,2475,Pollocksville,
28574,1169,13,17702,Richlands,
28577,8,0,595,Sealevel,
28578,494,5,7044,Seven Springs,
28580,865,27,12031,Snow Hill,
28582,75,2,1824,Stella,
28584,591,3,12910,Swansboro,
28585,179,3,4170,Trenton,
28586,886,6,8427,Vanceboro,
28590,1947,13,26551,Winterville,
28594,221,2,3678,Emerald Isle,
28601,4553,69,49848,Hickory,
28602,2474,53,31218,Hickory,
28604,312,3,6449,Banner Elk,
28605,201,2,4143,Blowing Rock,
28606,129,0,2367,Boomer,
28607,1902,16,37481,Boone,
28609,427,5,6457,Catawba,
28610,825,6,10238,Claremont,
28612,1088,25,14906,Connelly Springs,
28613,2234,37,25216,Conover,
28615,76,0,1883,Creston,
28617,148,2,2451,Crumpler,
28618,100,1,2480,Deep Gap,
28621,857,24,10400,Elkin,
28622,165,0,2638,Elk Park,
28623,112,0,1716,Ennice,
28624,102,2,1893,Ferguson,
28625,2601,52,38862,Statesville,
28626,85,1,3001,Fleetwood,
28627,50,0,1534,Glade Valley,
